######################################################################
# H2O Spectrum based on HITRAN2008
######################################################################

HITRAN2008  H2O Spectrum at 265K and 0.7atm
mol/cm^2

  265.00   1.00000000E-25    380.00000000  910.00000000  53001
 
  380.000000   0.0000000D+00
  380.010010   0.0000000D+00
  380.019989   0.0000000D+00
  380.029999   0.0000000D+00
  380.040009   0.0000000D+00
  380.049988   0.0000000D+00
  380.059998   0.0000000D+00
  380.070007   0.0000000D+00
  380.079987   0.0000000D+00
  380.089996   0.0000000D+00
  380.100006   0.0000000D+00
  380.109985   0.0000000D+00
  380.119995   0.0000000D+00
  380.130005   0.0000000D+00
  380.140015   0.0000000D+00
  380.149994   0.0000000D+00
  380.160004   0.0000000D+00
  380.170013   0.0000000D+00
  380.179993   0.0000000D+00
  380.190002   0.0000000D+00
  380.200012   0.0000000D+00
  380.209991   0.0000000D+00
  380.220001   0.0000000D+00
  380.230011   0.0000000D+00
  380.239990   0.0000000D+00
  380.250000   0.0000000D+00
  380.260010   0.0000000D+00
  380.269989   0.0000000D+00
  380.279999   0.0000000D+00
  380.290009   0.0000000D+00
  380.299988   0.0000000D+00
  380.309998   0.0000000D+00
  380.320007   0.0000000D+00
  380.329987   0.0000000D+00
  380.339996   0.0000000D+00
  380.350006   0.0000000D+00
  380.359985   0.0000000D+00
  380.369995   0.0000000D+00
  380.380005   0.0000000D+00
  380.390015   0.0000000D+00
  380.399994   0.0000000D+00
  380.410004   0.0000000D+00
  380.420013   0.0000000D+00
  380.429993   0.0000000D+00
  380.440002   0.0000000D+00
  380.450012   0.0000000D+00
  380.459991   0.0000000D+00
  380.470001   0.0000000D+00
  380.480011   0.0000000D+00
  380.489990   0.0000000D+00
  380.500000   0.0000000D+00
  380.510010   0.0000000D+00
  380.519989   0.0000000D+00
  380.529999   0.0000000D+00
  380.540009   0.0000000D+00
  380.549988   0.0000000D+00
  380.559998   0.0000000D+00
  380.570007   0.0000000D+00
  380.579987   0.0000000D+00
  380.589996   0.0000000D+00
  380.600006   0.0000000D+00
  380.609985   0.0000000D+00
  380.619995   0.0000000D+00
  380.630005   0.0000000D+00
  380.640015   0.0000000D+00
  380.649994   0.0000000D+00
  380.660004   0.0000000D+00
  380.670013   0.0000000D+00
  380.679993   0.0000000D+00
  380.690002   0.0000000D+00
  380.700012   0.0000000D+00
  380.709991   0.0000000D+00
  380.720001   0.0000000D+00
  380.730011   0.0000000D+00
  380.739990   0.0000000D+00
  380.750000   0.0000000D+00
  380.760010   0.0000000D+00
  380.769989   0.0000000D+00
  380.779999   0.0000000D+00
  380.790009   0.0000000D+00
  380.799988   0.0000000D+00
  380.809998   0.0000000D+00
  380.820007   0.0000000D+00
  380.829987   0.0000000D+00
  380.839996   0.0000000D+00
  380.850006   0.0000000D+00
  380.859985   0.0000000D+00
  380.869995   0.0000000D+00
  380.880005   0.0000000D+00
  380.890015   0.0000000D+00
  380.899994   0.0000000D+00
  380.910004   0.0000000D+00
  380.920013   0.0000000D+00
  380.929993   0.0000000D+00
  380.940002   0.0000000D+00
  380.950012   0.0000000D+00
  380.959991   0.0000000D+00
  380.970001   0.0000000D+00
  380.980011   0.0000000D+00
  380.989990   0.0000000D+00
  381.000000   0.0000000D+00
  381.010010   0.0000000D+00
  381.019989   0.0000000D+00
  381.029999   0.0000000D+00
  381.040009   0.0000000D+00
  381.049988   0.0000000D+00
  381.059998   0.0000000D+00
  381.070007   0.0000000D+00
  381.079987   0.0000000D+00
  381.089996   0.0000000D+00
  381.100006   0.0000000D+00
  381.109985   0.0000000D+00
  381.119995   0.0000000D+00
  381.130005   0.0000000D+00
  381.140015   0.0000000D+00
  381.149994   0.0000000D+00
  381.160004   0.0000000D+00
  381.170013   0.0000000D+00
  381.179993   0.0000000D+00
  381.190002   0.0000000D+00
  381.200012   0.0000000D+00
  381.209991   0.0000000D+00
  381.220001   0.0000000D+00
  381.230011   0.0000000D+00
  381.239990   0.0000000D+00
  381.250000   0.0000000D+00
  381.260010   0.0000000D+00
  381.269989   0.0000000D+00
  381.279999   0.0000000D+00
  381.290009   0.0000000D+00
  381.299988   0.0000000D+00
  381.309998   0.0000000D+00
  381.320007   0.0000000D+00
  381.329987   0.0000000D+00
  381.339996   0.0000000D+00
  381.350006   0.0000000D+00
  381.359985   0.0000000D+00
  381.369995   0.0000000D+00
  381.380005   0.0000000D+00
  381.390015   0.0000000D+00
  381.399994   0.0000000D+00
  381.410004   0.0000000D+00
  381.420013   0.0000000D+00
  381.429993   0.0000000D+00
  381.440002   0.0000000D+00
  381.450012   0.0000000D+00
  381.459991   0.0000000D+00
  381.470001   0.0000000D+00
  381.480011   0.0000000D+00
  381.489990   0.0000000D+00
